DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2018-0468-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Woolsey Fire,USA,United States of America,Northern America,Americas,"Thousand Oaks, Oak Park, Westlake Village, Agoura Hills, West Hills, Simi Valley, Chatsworth, Bell Canyon, Hidden Hills, Malibu and Calabasas (California)",,,No,No,No,,,Km2,,,,2018,11,8,2018,11,21,2,3,,,3,,,4000000,4853741,5200000,6309863,82.4106679610351,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28920,""adm2_name"":""Ventura""}]",2019-01-08,2023-09-25
2019-0513-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Saddleridge fire & Sandalwood fire,USA,United States of America,Northern America,Americas,Los Angeles and Riverside counties (California),,,No,No,No,,,Km2,,,,2019,10,10,2019,10,17,3,12,312,279,603,,,,,325000,387347,83.9041700601057,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28897,""adm2_name"":""Riverside""}]",2019-10-28,2023-09-25
2019-0517-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Kincade Fire,USA,United States of America,Northern America,Americas,"Los Angeles, San Bernardino, Ventura, Sonoma Counties (California)",,,No,No,Yes,,,Km2,,,,2019,10,26,2019,10,31,,2,660,,662,,,800000,953469,1300000,1549387,83.9041700601057,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28900,""adm2_name"":""San Bernardino""},{""adm2_code"":28913,""adm2_name"":""Sonoma""},{""adm2_code"":28920,""adm2_name"":""Ventura""}]",2019-10-28,2023-09-25
2020-0441-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,August Complex fire,USA,United States of America,Northern America,Americas,"Californie, Washington, Oregon, Colorado",,,No,No,No,,,Km2,,,,2020,8,16,2020,10,1,32,,,,,,,7500000,8829846,11000000,12950440,84.9391981293886,"[{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3261,""adm1_name"":""Washington""}]",2020-10-15,2023-09-25
2021-0357-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Telegraph and Mescal Fires,USA,United States of America,Northern America,Americas,"Pinas and Gila counties (Arizona); Montana, Utah",,,No,No,No,,,Km2,,,,2021,6,6,2021,7,4,,25,30,123,178,,,,,10000,11245,88.9294934772074,"[{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm2_code"":28778,""adm2_name"":""Gila""},{""adm2_code"":28786,""adm2_name"":""Pinal""}]",2021-06-28,2023-09-25
2021-0367-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,CAN,Canada,Northern America,Americas,Lytton (British Columbia),,Heat wave,No,No,No,,,Km2,,,,2021,6,30,2021,7,2,2,,250,,250,,,,,80912,90984,88.9294934772074,"[{""adm1_code"":826,""adm1_name"":""British Columbia / Colombie-Britannique""}]",2021-07-01,2025-03-18
2021-0410-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Bootleg Fire,USA,United States of America,Northern America,Americas,"Arizona, California, Oregon",,,No,No,No,,,Km2,,,,2021,7,6,2021,7,31,,,,483,483,,,,,325000,365458,88.9294934772074,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3251,""adm1_name"":""Oregon""}]",2021-07-13,2023-09-25
2021-0433-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Dixie fire,USA,United States of America,Northern America,Americas,Plumas County (California),"Heat, drought and winds",,No,No,No,,,Km2,,,,2021,7,13,2021,8,11,3,13,36,1212,1261,,,,,3000000,3373459,88.9294934772074,"[{""adm2_code"":28896,""adm2_name"":""Plumas""}]",2021-07-26,2023-09-25
2021-0526-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Caldor fire,USA,United States of America,Northern America,Americas,El Dorado County (California),,,No,No,No,,,Km2,,,,2021,8,13,2021,8,31,,,55903,,55903,,,,,1500000,1686729,88.9294934772074,"[{""adm2_code"":28873,""adm2_name"":""El Dorado""}]",2021-08-19,2025-03-18
2021-0626-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Fawn fire,USA,United States of America,Northern America,Americas,Shasta County (north California State),,,No,No,No,,,Km2,,,,2021,9,22,2021,9,30,,,63,315,378,,,,,,,88.9294934772074,"[{""adm2_code"":28909,""adm2_name"":""Shasta""}]",2021-09-29,2023-09-25
2021-0832-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Middle Fork and the Marshall wildfires,USA,United States of America,Northern America,Americas,"Louisville, Superior (Boulder county, Colorado)",,,No,No,Yes,,,Km2,,,,2021,12,30,2022,1,1,2,,3273,381,3654,,,,,3300000,3710805,88.9294934772074,"[{""adm2_code"":154739,""adm2_name"":""Boulder""}]",2022-01-03,2025-03-18
2022-0132-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Adkins Ave Fire and Bertha Swamp Road Fires; Cottonwood Complex Fires,USA,United States of America,Northern America,Americas,"Calhoun and Gulf Counties (Florida); Reno, Harvey Counties (Kansas)","Prolonged period of dry conditions, steady winds, and abundant fuels",,No,No,No,,,Km2,,,,2022,3,4,2022,3,9,,,156,108,264,,,,,,,96.0463421255491,"[{""adm2_code"":29004,""adm2_name"":""Calhoun""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29605,""adm2_name"":""Harvey""},{""adm2_code"":29643,""adm2_name"":""Reno""}]",2022-03-16,2025-03-18
2022-0215-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,"McBride, Nogal Canyon, Hermits Peak Fires",USA,United States of America,Northern America,Americas,"Lincoln, San Miguel Counties (New Mexico)","Ongoing severe drought, strong winds and low relative humidity",,No,No,No,,,Km2,,,,2022,4,12,2022,5,,2,49,600,,649,,,,,155000,161380,96.0463421255491,"[{""adm2_code"":28787,""adm2_name"":""Santa Cruz""},{""adm2_code"":30486,""adm2_name"":""Lincoln""},{""adm2_code"":30496,""adm2_name"":""San Miguel""}]",2022-04-15,2023-09-25
2022-0246-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Calf Canyon and Hermits Peak Fires,USA,United States of America,Northern America,Americas,"Mora, Colfax, Lincoln, San Miguel, Valencia Counties (New Mexico); Colorado, Nebraska","Hot and dry conditions, severe drought, and very high winds",,No,No,Yes,,,Km2,,,,2022,4,6,2022,6,14,,138,756,,894,,,,,,,96.0463421255491,"[{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm2_code"":30476,""adm2_name"":""Colfax""},{""adm2_code"":30486,""adm2_name"":""Lincoln""},{""adm2_code"":30490,""adm2_name"":""Mora""},{""adm2_code"":30496,""adm2_name"":""San Miguel""},{""adm2_code"":30504,""adm2_name"":""Valencia""}]",2022-04-29,2023-09-25
2022-0486-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,McKinney & Yeti Complex fires,USA,United States of America,Northern America,Americas,Siskiyou County (California),"Vague de chaleur, de forts vents et des orages",Heat wave,No,No,No,,,Km2,,,,2022,7,29,2022,8,1,4,7,33,555,595,,,,,151000,157216,96.0463421255491,"[{""adm2_code"":28911,""adm2_name"":""Siskiyou""}]",2022-08-02,2025-03-18
2023-0280-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:WF-2023-000074,,CAN,Canada,Northern America,Americas,"Alberta, British Columbia, Nova Scotia, Ontario, Québec, Saskatchewan",Dry conditions and high winds,Heat wave|Pollution,No,No,Yes,,,Km2,,,,2023,5,6,2023,7,,2,,30000,,30000,,,100000,100000,200000,200000,100,"[{""adm1_code"":825,""adm1_name"":""Alberta""},{""adm1_code"":826,""adm1_name"":""British Columbia / Colombie-Britannique""},{""adm1_code"":831,""adm1_name"":""Nova Scotia / Nouvelle-Écosse""},{""adm1_code"":833,""adm1_name"":""Ontario""},{""adm1_code"":835,""adm1_name"":""Quebec / Québec""},{""adm1_code"":836,""adm1_name"":""Saskatchewan""}]",2023-05-08,2025-03-12
2023-0524-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Lahaina' wildfire,USA,United States of America,Northern America,Americas,Maui and Kula City (Hawai),,,No,No,Yes,,,Km2,,,,2023,8,9,2023,8,10,128,,7695,,7695,,,3500000,3500000,5500000,5500000,100,"[{""adm1_code"":3225,""adm1_name"":""Hawaii""}]",2023-08-09,2024-01-16
2023-0534-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Gray fire and the Oregon fire,USA,United States of America,Northern America,Americas,Spokane County (eastern Washington State),,,No,No,No,,,Km2,,,,2023,8,,2023,8,22,2,1,720,81,802,,,,,,,100,,2023-08-23,2023-09-26
2024-0126-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,"Smokehouse Creek, Windy Deuce and Grape Vine Creek fires",USA,United States of America,Northern America,Americas,"Texas, Oklahoma",Hot and windy conditions,,No,No,Yes,,,Km2,,,,2024,2,26,2024,3,7,2,,300,39,339,,,,,610000,,,,2024-03-11,2025-01-22
2024-0288-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CAN,Canada,Northern America,Americas,"Fort Nelson, Carpenter Lake, Fontas, and Doig River First Nation reserve (British Columbia); Alberta, Manitoba Provinces",,,No,No,No,,,Km2,,,,2024,5,12,2024,5,13,,,3500,,3500,,,,,,,,,2024-05-13,2024-06-12
2024-0403-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,' South Fork' and 'Salt' fires,USA,United States of America,Northern America,Americas,"Otero and Lincoln Counties (New Mexico); California, Washington states",,,No,No,Yes,,,Km2,,,,2024,6,17,2024,7,15,2,2,1500,,1502,,,800000,,1200000,,,,2024-06-21,2024-08-05
2024-0463-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,CAN,Canada,Northern America,Americas,Quebec province,,,No,No,Yes,,,Km2,,,,2024,6,21,2024,6,25,,,,,,,,,,,,,,2024-07-11,2025-03-18
2024-0524-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Jasper Complex Fire,CAN,Canada,Northern America,Americas,National park Jasper (Alberta province); Colombie-Britannique,"Warm temperatures, dry conditions, and strong winds, lightenings",,No,No,Yes,,,Km2,,,,2024,7,22,2024,8,7,1,,,,,,,800000,,1000000,,,,2024-07-25,2025-01-09
2024-0669-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,"'Brige fire', 'Airport fire'",USA,United States of America,Northern America,Americas,"Los Angeles, Orange, Riverside, San Bernardino counties (California); Grant, Crook, and Wheeler Counties (Oregon); Nevada",,Heat wave,No,No,Yes,,,Km2,,,,2024,9,4,2024,9,19,,33,,99,132,,,,,,,,,2024-09-24,2024-10-21
2024-0827-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Mountain fire',USA,United States of America,Northern America,Americas,Ventura county (California),,,No,No,Yes,,,Km2,,,,2024,11,6,2024,11,8,,6,381,729,1116,,,,,100000,,,,2024-11-08,2024-11-15
2024-0897-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Franklin',USA,United States of America,Northern America,Americas,"Near Malibu city, Santa Monica mountains (Los Angeles County, California)",,,No,No,No,,,Km2,,,,2024,12,9,2024,12,11,,,90,60,150,,,,,,,,,2024-12-11,2025-03-18
